2020-01-01,2,9,6,4,75
2020-01-02,8,5,9,8,76
2020-01-03,5,7,5,7,70
2020-01-04,6,4,7,6,67
2020-01-05,7,4,5,7,51
2020-01-06,8,4,7,8,50
2020-01-07,4,8,7,7,77
2020-01-08,2,9,6,8,60
2020-01-09,7,5,7,6,51
2020-01-10,7,5,8,8,72
2020-01-11,5,6,6,7,63
2020-01-12,6,5,8,7,62
2020-01-13,4,5,6,6,63
2020-01-14,9,4,7,8,57
2020-01-15,9,3,5,6,52
2020-01-16,9,5,8,9,75
2020-01-17,5,8,7,8,74
2020-01-18,7,5,6,8,66
2020-01-19,7,4,8,6,50
2020-01-20,7,6,7,5,57
2020-01-21,4,8,8,6,61
2020-01-22,8,4,6,7,69
2020-01-23,9,4,7,5,64
2020-01-24,10,3,6,5,60
2020-01-25,9,3,9,10,60
2020-01-26,9,4,7,7,62
2020-01-27,8,3,6,8,80
2020-01-28,8,2,9,10,68
2020-01-29,9,4,6,6,63
2020-01-30,9,4,8,8,79
2020-01-31,7,5,6,6,74
2020-02-28,5,5,8,10,55
2020-03-31,8,4,8,8,80
2020-04-30,9,3,6,5,76
2020-05-31,6,6,9,10,74
2020-06-30,8,4,10,10,57
2020-07-31,7,4,7,8,58
2020-08-31,10,2,8,9,80
2020-09-30,9,4,9,9,74
2020-10-31,8,3,5,6,53
2020-11-30,8,4,7,8,65
2020-12-31,9,3,7,8,73
2021-01-31,7,3,8,6,52
2021-02-28,8,4,8,9,55
2021-03-31,9,3,7,8,56
2021-04-30,8,3,6,7,60
2021-05-31,9,2,7,7,56
2021-06-30,10,4,7,5,50
2021-07-31,10,5,6,4,56
2021-08-31,10,3,7,6,80
2021-09-30,10,2,8,6,51
2021-10-31,8,5,7,5,67
2021-11-30,6,6,8,7,65
2021-12-31,6,7,7,5,78
2022-01-31,5,5,7,5,61
2022-02-28,5,6,6,4,72
2022-03-31,2,7,6,4,63
2022-04-30,4,5,5,4,70
2022-05-31,5,4,8,8,76
2022-06-30,7,6,7,7,66
2022-07-31,9,2,10,10,70
2022-08-31,9,1,8,6,73
2022-09-30,8,3,8,7,61
